,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
202,40.7195,-73.95976,249,2,358,164,0,1,0,0,0,1,0,0
203,40.76548,-73.98474,105,6,10,363,0,0,1,0,0,0,0,1
204,40.80234,-73.95603,200,30,0,365,0,0,1,0,0,0,1,0
205,40.6787,-73.97261999999999,100,2,226,250,0,1,0,0,0,0,1,0
206,40.81035,-73.94598,121,1,104,247,0,0,1,0,0,1,0,0
207,40.83075,-73.93058,45,1,138,323,1,0,0,0,0,0,1,0
208,40.79958,-73.94275,100,5,204,192,0,0,1,0,0,0,1,0
209,40.71625,-73.93845,140,2,253,125,0,1,0,0,0,1,0,0
210,40.6829,-73.93549,71,2,23,91,0,1,0,0,0,0,1,0
211,40.72773,-73.99134000000001,130,2,115,75,0,0,1,0,0,0,1,0
212,40.728609999999996,-74.0049,199,5,129,286,0,0,1,0,0,1,0,0
213,40.709790000000005,-73.95161999999999,69,4,82,60,0,1,0,0,0,0,1,0
214,40.68656,-73.97525,68,3,37,0,0,1,0,0,0,0,1,0
215,40.72752,-73.98432,130,1,204,192,0,0,1,0,0,1,0,0
216,40.729,-73.95829,195,2,69,58,0,1,0,0,0,1,0,0
217,40.81219,-73.94499,64,1,192,245,0,0,1,0,0,0,1,0
218,40.77185,-73.90502,140,2,17,292,0,0,0,1,0,1,0,0
219,40.68926,-73.99386,159,2,222,279,0,1,0,0,0,1,0,0
220,40.72821,-73.98701,189,3,205,0,0,0,1,0,0,1,0,0
221,40.7672,-73.98508000000001,250,3,94,3,0,0,1,0,0,1,0,0
222,40.73012,-73.99053,239,3,7,351,0,0,1,0,0,1,0,0
223,40.7403,-73.98498000000001,305,2,108,201,0,0,1,0,0,1,0,0
224,40.809309999999996,-73.94343,155,3,222,232,0,0,1,0,0,1,0,0
225,40.8251,-73.94287,60,1,458,258,0,0,1,0,0,0,1,0
226,40.6585,-73.98397,135,2,21,272,0,1,0,0,0,0,1,0
227,40.76193,-73.9501,120,7,17,341,0,0,1,0,0,0,1,0
228,40.72052,-73.98589,150,3,41,244,0,0,1,0,0,1,0,0
229,40.70411,-73.89934000000001,140,14,1,365,0,0,0,1,0,1,0,0
